"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"G","Anton Khudobin",6300,"Anh@Col 05:30PM ET",2.680,"Anh"
"LW","Taylor Hall",6300,"Edm@Van 10:00PM ET",4.000,"Edm"
"D","John Klingberg",6300,"Nsh@Dal 08:00PM ET",3.063,"Dal"
"G","Marek Langhamer",6300,"Ari@SJ 10:30PM ET",0,"Ari"
"C","Nathan MacKinnon",6300,"Anh@Col 05:30PM ET",3.742,"Col"
"RW","Patrick Sharp",6200,"Nsh@Dal 08:00PM ET",3.287,"Dal"
"G","Yann Danis",6200,"Tor@NJ 07:00PM ET",-0.600,"NJ"
"C","Nicklas Backstrom",6200,"Was@StL 08:00PM ET",3.249,"Was"
"G","Jeremy Smith",6200,"Ott@Bos 12:30PM ET",0,"Bos"
"D","Drew Doughty",6200,"Wpg@LA 10:00PM ET",3.283,"LA"
"D","Victor Hedman",6200,"TB@Mon 07:00PM ET",3.222,"TB"
"G","Magnus Hellberg",6200,"Det@NYR 12:30PM ET",-1.200,"NYR"
"G","Stephen Michalek",6200,"Cgy@Min 07:00PM ET",0,"Min"
"G","Anton Forsberg",6200,"Chi@Cls 07:00PM ET",2.900,"Cls"
"G","Daniel Altshuller",6200,"Car@Fla 07:00PM ET",0,"Car"
"RW","Jaromir Jagr",6100,"Car@Fla 07:00PM ET",2.945,"Fla"
"C","Jonathan Toews",6100,"Chi@Cls 07:00PM ET",3.244,"Chi"
"C","Logan Couture",6100,"Ari@SJ 10:30PM ET",3.220,"SJ"
"G","Dustin Tokarski",6100,"Anh@Col 05:30PM ET",1.367,"Anh"
"RW","Mats Zuccarello",6100,"Det@NYR 12:30PM ET",3.304,"NYR"
"C","Derek Stepan",6100,"Det@NYR 12:30PM ET",3.285,"NYR"
"G","Christopher Gibson",6100,"Buf@NYI 07:30PM ET",4.000,"NYI"
"D","Torey Krug",6100,"Ott@Bos 12:30PM ET",3.240,"Bos"
"C","Sean Monahan",6100,"Cgy@Min 07:00PM ET",3.330,"Cgy"
"G","Antoine Bibeau",6100,"Tor@NJ 07:00PM ET",0,"Tor"
"C","Jack Eichel",6100,"Buf@NYI 07:30PM ET",3.259,"Buf"
"G","Jason LaBarbera",6000,"Pit@Phi 03:00PM ET",0,"Phi"
"G","Michael Leighton",6000,"Chi@Cls 07:00PM ET",2.200,"Chi"
"LW","Alexander Steen",6000,"Was@StL 08:00PM ET",3.414,"StL"
"G","Drew MacIntyre",6000,"Chi@Cls 07:00PM ET",0,"Chi"
"G","Ray Emery",6000,"Pit@Phi 03:00PM ET",0,"Phi"
"D","Ryan Suter",6000,"Cgy@Min 07:00PM ET",3.407,"Min"
"G","Justin Peters",6000,"Was@StL 08:00PM ET",0,"Was"
"LW","James van Riemsdyk",6000,"Tor@NJ 07:00PM ET",3.182,"Tor"
"G","Mike McKenna",6000,"Car@Fla 07:00PM ET",0,"Fla"
"D","Alex Pietrangelo",6000,"Was@StL 08:00PM ET",3.299,"StL"
"RW","Jordan Eberle",6000,"Edm@Van 10:00PM ET",3.185,"Edm"
"D","P.K. Subban",6000,"TB@Mon 07:00PM ET",3.158,"Mon"
"D","Oliver Ekman-Larsson",6000,"Ari@SJ 10:30PM ET",3.584,"Ari"
"G","John Muse",6000,"Nsh@Dal 08:00PM ET",0,"Dal"
"G","Jordan Binnington",6000,"Was@StL 08:00PM ET",-0.400,"StL"
"G","Jason Kasdorf",6000,"Buf@NYI 07:30PM ET",0,"Buf"
"G","Nathan Lieuwen",6000,"Buf@NYI 07:30PM ET",0,"Buf"
"G","Joe Cannata",6000,"Edm@Van 10:00PM ET",0,"Van"
"G","Malcolm Subban",6000,"Ott@Bos 12:30PM ET",0,"Bos"
"G","Anthony Stolarz",6000,"Pit@Phi 03:00PM ET",0,"Phi"
"G","Jon Gillies",6000,"Cgy@Min 07:00PM ET",0,"Cgy"
"G","Jared Coreau",6000,"Det@NYR 12:30PM ET",0,"Det"
"G","Troy Grosenick",6000,"Ari@SJ 10:30PM ET",0,"SJ"
"G","Juuse Saros",6000,"Nsh@Dal 08:00PM ET",1.000,"Nsh"
"G","Kristers Gudlevskis",6000,"TB@Mon 07:00PM ET",5.200,"TB"
"G","Patrik Bartosak",6000,"Wpg@LA 10:00PM ET",0,"LA"
"G","Pheonix Copley",6000,"Was@StL 08:00PM ET",0.000,"StL"
"G","Roman Will",6000,"Anh@Col 05:30PM ET",-0.600,"Col"
"G","MacKenzie Blackwood",6000,"Tor@NJ 07:00PM ET",0,"NJ"
"C","Joe Thornton",5900,"Ari@SJ 10:30PM ET",3.148,"SJ"
"LW","Daniel Sedin",5900,"Edm@Van 10:00PM ET",3.645,"Van"
"LW","Rick Nash",5900,"Det@NYR 12:30PM ET",2.750,"NYR"
"C","Jason Spezza",5900,"Nsh@Dal 08:00PM ET",3.516,"Dal"
"D","Duncan Keith",5900,"Chi@Cls 07:00PM ET",3.221,"Chi"
"D","Brent Seabrook",5900,"Chi@Cls 07:00PM ET",3.319,"Chi"
"C","David Krejci",5900,"Ott@Bos 12:30PM ET",3.454,"Bos"
"RW","Jakub Voracek",5900,"Pit@Phi 03:00PM ET",3.205,"Phi"
"LW","Brayden Schenn",5900,"Pit@Phi 03:00PM ET",3.115,"Phi"
"C","Ryan O'Reilly",5900,"Buf@NYI 07:30PM ET",3.380,"Buf"
"LW","Mike Hoffman",5900,"Ott@Bos 12:30PM ET",3.613,"Ott"
"D","Justin Faulk",5900,"Car@Fla 07:00PM ET",3.184,"Car"
"RW","Brendan Gallagher",5900,"TB@Mon 07:00PM ET",3.377,"Mon"
"LW","Jonathan Huberdeau",5900,"Car@Fla 07:00PM ET",3.192,"Fla"
"D","Rasmus Ristolainen",5900,"Buf@NYI 07:30PM ET",3.225,"Buf"
"C","Patrick Marleau",5800,"Ari@SJ 10:30PM ET",3.049,"SJ"
"D","Erik Johnson",5800,"Anh@Col 05:30PM ET",3.438,"Col"
"C","Derick Brassard",5800,"Det@NYR 12:30PM ET",3.095,"NYR"
"LW","Jeff Skinner",5800,"Car@Fla 07:00PM ET",3.315,"Car"
"RW","Brandon Saad",5800,"Chi@Cls 07:00PM ET",3.310,"Cls"
"D","Francois Beauchemin",5700,"Anh@Col 05:30PM ET",3.309,"Col"
"D","John Carlson",5700,"Was@StL 08:00PM ET",3.545,"Was"
"C","Nazem Kadri",5700,"Tor@NJ 07:00PM ET",3.424,"Tor"
"RW","Tyler Toffoli",5700,"Wpg@LA 10:00PM ET",3.222,"LA"
"RW","Mark Stone",5700,"Ott@Bos 12:30PM ET",3.296,"Ott"
"RW","Gabriel Landeskog",5700,"Anh@Col 05:30PM ET",3.249,"Col"
"RW","Marian Hossa",5600,"Chi@Cls 07:00PM ET",2.826,"Chi"
"C","Ryan Kesler",5600,"Anh@Col 05:30PM ET",3.171,"Anh"
"RW","Loui Eriksson",5600,"Ott@Bos 12:30PM ET",3.302,"Bos"
"D","Jake Muzzin",5600,"Wpg@LA 10:00PM ET",3.167,"LA"
"C","Ryan Johansen",5600,"Nsh@Dal 08:00PM ET",3.049,"Nsh"
